MD STEP=    9995
 -5.0699E-01 <===xLogS (a.u.)
 -1.2308E-05 <===vLogS (a.u.)
ION VELOCITIES (a.u.):
    2.0792E-04   -2.3143E-04    6.1283E-04
    4.3393E-05    2.0807E-04    3.3204E-04
   -2.5045E-04    1.0460E-04   -3.0071E-04
   -6.0915E-04   -4.5044E-04    1.9812E-04
   -1.6763E-04   -3.2201E-04    6.6275E-04
   -1.5220E-04   -1.9475E-04   -5.7769E-04
   -2.6736E-04   -8.7972E-05    5.5391E-04
    5.7216E-04    1.6804E-04   -2.4286E-04
    1.6200E-04   -2.1833E-04    1.3472E-04
    9.5470E-04    1.7298E-04   -1.5874E-04
    1.5716E-04   -2.4534E-04    1.2541E-04
   -8.8152E-05    4.7710E-04    3.3799E-04
   -2.5074E-04    2.7737E-04    1.3121E-04
   -3.3357E-04   -1.7637E-04   -2.0310E-04
   -3.5411E-04   -3.0003E-04    2.3447E-04
    1.4660E-04   -5.4324E-04    3.1108E-04
    1.0935E-03   -8.9184E-05    1.0873E-03
   -2.5629E-04    8.9520E-04    1.7311E-04
   -1.3467E-04    9.0972E-05    1.0751E-04
   -4.4178E-04   -3.8313E-05    4.8915E-04
   -1.1712E-04   -2.7183E-04   -2.1302E-04
   -4.0604E-04    6.0428E-04   -2.4540E-04
   -8.0355E-04   -2.6026E-05    5.6773E-04
    3.5089E-05    8.3739E-04    1.2291E-04
   -1.6267E-04   -6.1140E-04   -3.7932E-04
    2.4333E-04   -1.3624E-04    2.6615E-05
    1.8849E-04   -2.8516E-04   -1.5982E-04
   -7.0716E-04   -3.8220E-04   -1.8721E-04
   -2.1413E-05    4.6839E-04   -1.3798E-04
    3.3671E-04   -7.0734E-05    6.2517E-05
    2.6104E-04   -6.0231E-05    9.3547E-05
   -1.2821E-05   -6.3045E-04   -4.0964E-05
    2.3271E-04    3.9926E-04   -4.2146E-04
   -2.3277E-04   -3.8094E-04   -8.4846E-05
   -1.1040E-04   -3.1625E-04   -1.6151E-04
    2.4518E-04   -6.4251E-05    5.1870E-05
   -3.0849E-04    4.7636E-04   -2.6456E-04
    3.0507E-04    3.9328E-04    2.0466E-04
   -2.4512E-04   -2.1404E-04   -2.2538E-04
    7.5626E-04   -7.6681E-05    5.2640E-05
    1.3409E-04   -2.5952E-04    1.3852E-04
    2.3752E-04   -1.0660E-04   -2.0286E-04
    2.0797E-04    1.9091E-04    1.6963E-04
   -1.2006E-04    9.2881E-05   -6.7445E-04
    5.5011E-04   -1.3745E-04   -3.9954E-05
    7.0195E-04    1.3384E-05    1.3348E-04
    1.3290E-04    3.0296E-04   -3.9955E-04
   -3.0611E-04   -3.8755E-04   -4.3294E-04
    2.1266E-04    2.9191E-04    2.3803E-04
    4.7160E-05    2.4690E-04    2.1639E-04
   -2.5096E-04    3.8696E-04    1.3540E-04
    3.4256E-05   -2.4674E-04   -9.1431E-06
   -3.7857E-04   -5.4187E-04   -4.4906E-04
    3.3683E-04   -4.2405E-04   -8.9317E-05
   -5.1152E-04    2.7774E-04    7.0829E-04
    3.7773E-04   -2.1151E-04    5.3882E-05
    1.0731E-04    4.2694E-04    1.7072E-04
   -2.3917E-04   -3.7137E-04    3.6310E-04
    6.1050E-05   -4.0691E-04    6.2531E-05
    1.4797E-04   -3.6427E-04   -1.8057E-04
    2.9954E-04    4.4711E-04    4.0746E-04
   -4.3009E-04   -3.2490E-04    2.0680E-04
    2.4927E-04   -2.1777E-04   -6.7064E-04
   -3.3387E-04    4.9107E-04   -7.5962E-04
    5.6917E-06    1.9552E-04   -1.1782E-04
   -1.4994E-04    8.2445E-05    1.9774E-04
   -1.8586E-04   -3.5595E-04   -5.3172E-04
   -6.7726E-04   -4.8792E-04   -3.1517E-05
   -1.5268E-04   -2.4501E-04    5.0629E-04
   -1.6715E-04   -1.4226E-04    5.1183E-04
    1.1869E-03    3.8952E-04    4.2194E-04
   -4.6812E-04   -2.4118E-05    5.1641E-04
   -1.3667E-04   -9.8775E-05   -4.5420E-04
    4.0618E-04    7.3876E-05    2.1990E-04
   -9.2407E-05    3.8886E-04    6.9953E-05
    2.3369E-04   -1.9890E-04   -2.2247E-04
   -2.3465E-04   -2.8910E-04   -7.7997E-04
   -1.0529E-04    1.4689E-04   -2.7648E-04
   -4.1731E-04   -2.2448E-04   -3.5576E-04
    2.7343E-04    5.1073E-04   -3.0576E-04
    9.1570E-06    5.2263E-04    2.9993E-05
    2.6820E-04    3.2710E-04    1.8505E-04
    2.4695E-04    7.1398E-05   -3.6456E-04
    5.7220E-05    4.7452E-04   -5.7654E-04
   -3.3182E-04    3.6780E-04    2.9088E-04
    5.9664E-05    6.6545E-06    8.0030E-05
    2.8180E-04   -1.1200E-04    8.9889E-05
   -5.5332E-04    2.7782E-05   -6.6958E-04
   -5.6357E-04   -3.5778E-04   -3.1028E-04
    7.0726E-05   -2.2141E-04   -3.0766E-05
    2.8005E-04    5.7689E-04   -1.3455E-04
   -1.8774E-04   -3.0049E-04    1.0680E-04
    3.4344E-04    1.3999E-05   -8.3202E-04
    2.0811E-04    4.6033E-04   -1.3589E-04
    5.8485E-05    5.2753E-04    5.1928E-04
    1.6463E-04    8.5922E-04   -1.4672E-04
   -3.5677E-04   -1.4473E-04    3.8188E-04
   -5.7475E-04   -2.1924E-04    4.6667E-04
   -3.1347E-04   -2.2949E-04    7.9785E-05
   -3.9026E-05    2.1848E-05    4.3113E-04
    1.5417E-04    2.1177E-04   -3.4368E-05
   -1.4564E-04    1.7656E-05   -1.7962E-05
   -5.6206E-05    1.4474E-04    7.5648E-05
    4.0048E-04    4.8568E-04   -1.5615E-04
    1.4449E-04    2.3412E-04   -1.8085E-04
    1.2495E-04   -4.1820E-05    1.3916E-04
   -1.1181E-04    2.6481E-04    8.2362E-06
   -2.7618E-04    3.3425E-04   -4.3767E-04
    6.3329E-04   -1.2731E-04    8.2779E-05
    5.8252E-05   -2.4543E-04   -3.0274E-05
    1.8670E-04    2.3783E-04   -8.1647E-04
   -4.5575E-04   -2.5251E-04   -2.1409E-04
    4.4979E-04   -4.7377E-04   -5.6533E-04
   -5.4563E-05    2.1848E-04   -2.4853E-05
   -2.8709E-04   -1.3673E-04    6.6830E-04
   -2.5367E-04    3.9158E-04    1.8164E-04
   -4.3992E-04   -5.5664E-04    4.5131E-05
    6.6492E-04   -2.7353E-04   -8.2065E-04
    9.3465E-05   -1.9926E-04   -3.1263E-04
   -1.5481E-04   -3.4403E-04    9.8155E-05
